Booking id,Customer ID,Customer Name,Creditscore,Customer Booking Country,Gender,Age,Customer Tenure,Booking Amount,Number of Services,Is Mobile,Is Weekend,Monthly Income
4200,15634638,Hargrave,619,France,Female,54,2,10000,1,1,1,101348.88
4201,15647347,Hill,608,Spain,Female,34,1,83807.86,1,0,1,112542.58
4202,15619340,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57
4203,15701390,Boni,699,France,Female,39,1,2342,2,0,0,93826.63
4204,15737924,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1
4205,15574048,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71
4206,15592567,Bartlett,822,France,Male,45,7,3290,2,1,1,10062.8
4215,15644002,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26
4216,15737488,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67
4217,15788254,Henderson,549,Spain,Female,24,9,9835,2,1,1,14406.41
4218,15661543,Muldrow,587,Spain,Male,34,6,1945,1,0,0,158684.81
4219,15569018,Hao,726,France,Female,24,6,2890,2,1,1,54724.03
4220,15577693,McDonald,732,France,Male,41,8,9743,2,1,1,170886.17
4221,15597981,Dellucci,636,Spain,Female,32,8,8075,2,1,0,138555.46
4222,15699345,Gerasimov,510,Spain,Female,38,4,7362,1,1,0,118913.53
4223,15725773,Mosman,669,France,Male,46,3,10000,2,0,1,8487.75
4224,15625083,Yen,846,France,Female,38,5,10000,1,1,1,187616.16
4225,15738227,Maclean,577,France,Male,25,3,4242,2,0,1,124508.29
4226,15736852,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95
4227,15700808,Nebechi,571,France,Male,44,9,7659,2,0,0,38433.35
4239,15585804,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04
4240,15619396,Hsiao,472,Spain,Male,40,4,3000,1,1,0,70154.22
4241,15738184,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65
4242,15687982,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83
4243,15755232,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76
4244,15684207,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39
4245,15754885,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46
4246,15602316,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21
4247,15771609,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8
4248,15766241,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13
4249,15771909,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12
4250,15616586,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16
4251,15768229,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57
4252,15683589,O'Brien,788,France,Female,33,5,2984,2,0,0,116978.19
4253,15702334,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94
4254,15569626,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76
4255,15760897,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49
4256,15630089,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57
4257,15647127,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75
4258,15623980,T'ien,511,Spain,Female,66,4,5390,1,1,0,1643.11
4259,15804807,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28
4260,15651316,Hunter,742,Germany,Male,35,5,136857,1,0,0,84509.57
4269,15755684,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203
4270,15703829,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86
4271,15620380,McKee,813,France,Male,29,6,10000,1,1,0,33953.87
4272,15812554,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55
4273,15779088,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81
4274,15770847,Wallace,519,France,Male,36,9,7489,2,0,1,145562.4
4275,15780997,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388
4276,15614085,Hu,664,France,Male,55,8,4242,2,1,1,139161.64
4277,15662121,Read,678,France,Female,32,9,8632,1,1,1,148210.64
4278,15575221,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63
4279,15803172,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61
4280,15706057,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66
4281,15663742,Leonard,777,France,Female,32,2,4234,1,1,0,136458.19
4282,15641768,Mills,543,France,Female,36,3,10000,2,0,0,26019.59
4283,15701200,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29
4284,15738787,Beit,493,France,Female,46,4,7547,2,1,0,1907.66
4285,15805290,Ndukaku,652,Spain,Female,75,10,7550,2,1,1,114675.75
4286,15762454,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35
4287,15625795,Rowley,729,France,Male,30,9,7567,2,1,0,151869.35
4288,15622933,Sharpe,646,France,Female,46,4,7550,3,1,0,93251.42
